Energy,Count
527.0039239093882, 81210.85926820734
527.5632910642923, 116401.7547763614
527.7951070368013, 92941.15777092543
527.8074158495009, 103498.42642337154
528.6751871448228, 180918.39654131024
528.6874959575223, 191475.66519375658
528.6998047702219, 202032.93384620268
528.7121135829216, 212590.202498649
528.7244223956211, 223147.47115109512
528.7367312083207, 233704.73980354122
528.7490400210203, 244262.00845598755
528.7613488337199, 254819.27710843366
528.7736576464196, 265376.54576088
528.7859664591191, 275933.8144133261
528.7982752718187, 286491.0830657722
528.8105840845184, 297048.35171821853
528.8228928972179, 307605.62037066463
529.1757455279397, 165669.0084877771
529.4075615004489, 142208.4114823409
529.4198703131485, 152765.68013478722
529.653053931513, 130478.11297962302
530.3956856310556, 322855.008424198
530.4079944437551, 333412.2770766441
530.4203032564548, 343969.54572909046
